Das Geld der Welt: Die Alte Welt - Eurasien;Regal 1;Ebene 7;Island, Lettland, Russland, Hongkong, Malaysia, Singapur, Vereinigte Arabische Emirate, China;3. Elemente der Welt - Geld, Geschichte und Reisen;8 Sätze;1986-2014
Star Wars Classics Band 7: Schreie im Nichts, Teil 1;Regal 2;Ebene 8;Chris Claremont, David Micheline, Louise Jones & Tom Palmer;Star Wars Classics (1980);184;2011
Star Wars Classics Band 8: Schreie im Nichts, Teil 2;Regal 2;Ebene 8;David Micheline, Walter Simonson & Michael Fleisher;Star Wars Classics (1981);176;2012
Star Wars Classics Band 9: Kopfgeld, Teil 1;Regal 2;Ebene 8;David Micheline & Mary Jo Duffy;Star Wars Classics (1981);176;2012
Star Wars Classics Band 10: Kopfgeld, Teil 2;Regal 2;Ebene 8;David Micheline & Mary Jo Duffy;Star Wars Classics (1982);176;2013
Star Wars Classics Band 11: Die Rückkehr;Regal 2;Ebene 8;Archie Goodwin, Mary Jo Duffy & Linda Grant;Star Wars Classics (1982);176;2013
Star Wars Classics Band 12: Eine neue Ordnung: Planet der Jäger;Regal 2;Ebene 8;Roy Richardson, Mary Jo Duffy, Randy Stradley & Ann Nocenti;Star Wars Classics (1983);176;2014
Star Wars Ewoks: Die Schatten von Endor;Regal 2;Ebene 8;Zack Giallongo;Star Wars Sonderbände (Legends);84;2015
Star Wars Rebels Band 1: Widerstand;Regal 2;Ebene 8;Jeremy Barlow & Martin Fisher;Star Wars Rebels (Comics);108;2016
Star Wars Rebels Band 2: Veränderungen;Regal 2;Ebene 8;Martin Fisher;Star Wars Rebels (Comics);108;2016
Star Wars Rebels Band 3: Rebellion am Rand der Galaxis;Regal 2;Ebene 8;Martin Fisher & Jeremy Barlow;Star Wars Rebels (Comics);108;2017
 Star Wars Sonderband 72: Dawn of the Jedi I: Machtsturm ;Regal 2;Ebene 8;John Ostrander & Jan Duursema;Star Wars Sonderbände (Legends);144;2013
 Star Wars Sonderband 76: Dawn of the Jedi II: Der Gefangene von Bogan ;Regal 2;Ebene 8;John Ostrander & Jan Duursema;Star Wars Sonderbände (Legends);128;2013
 Star Wars Sonderband 82: Dawn of the Jedi III: Machtkrieg ;Regal 2;Ebene 8;John Ostrander & Jan Duursema;Star Wars Sonderbände (Legends);124;2014
 Star Wars Sonderband 63: Knight Errant I: In Flammen ;Regal 2;Ebene 8;John Jackson Miller;Star Wars Sonderbände (Legends);128;2011
 Star Wars Sonderband 69: Knight Errant II: Sintflut ;Regal 2;Ebene 8;John Jackson Miller;Star Wars Sonderbände (Legends);128;2012
 Star Wars Sonderband 73: Knight Errant III: Flucht ;Regal 2;Ebene 8;John Jackson Miller;Star Wars Sonderbände (Legends);128;2013
 Star Wars Sonderband 59: The Old Republic I: Bedrohung des Friedens ;Regal 2;Ebene 8;Rob Chestney;Star Wars Sonderbände (Legends);100;2010
 Star Wars Sonderband 61: The Old Republic II: Blut des Imperiums ;Regal 2;Ebene 8;Alexander Freed;Star Wars Sonderbände (Legends);100;2011
 Star Wars Sonderband 67: The Old Republic III: Verlorene Sonnen ;Regal 2;Ebene 8;Alexander Freed;Star Wars Sonderbände (Legends);128;2012
Nr.20/04 12. Jahrgang 138 Gesichter des Orients: 10.000 Kunst und Kultur aus Jordanien;Regal 3;Ebene 8;Verschiedene Autoren;Vernissage Die Zeitschrift zur Austellung (2005);68;2004
Nr.25/04 12. Jahrgang 140 Tutanchamun - Das Goldene Jenseits: Grabschätze aus dem Tal der Könige;Regal 3;Ebene 8;Verschiedene Autoren;Vernissage Die Zeitschrift zur Austellung (2004);68;2004
Nr.10/05 13. Jahrgang 145 Dschingis Khan und seine Erben: Das Weltreich der Mongolen;Regal 3;Ebene 8;Verschiedene Autoren;Vernissage Die Zeitschrift zur Austellung (2006);68;2005
Nr.15/06 14. Jahrgang 156 Angkor - Göttliches Erbe Kambodschas;Regal 3;Ebene 8;Verschiedene Autoren;Vernissage Die Zeitschrift zur Austellung (2007);68;2006
Das Rom der Cäsaren;Regal 3;Ebene 8;Leonardo B. Dal Maso;Italia Artistica;128;1984
Das Goldene Buch von Rom;Regal 3;Ebene 8;Fabio Boldrini, Leonardo Castellucci, Stefano Giuntoli & Redaktion;Stadtführer von Rom;128;1988
Alltäglich und doch Rätselhaft;Regal 3;Ebene 8;Dennis Wallis, Dr. Anton Notz, Dr. Jutta Schneider & Peter Slyer;Wissensführer durchs Merkwürdige;354;1994
Nr.54/ Jan./Feb. 2000 China - Neugierig auf China;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2000
Nr.55/ März/April 2000 Kärntens schönste Seiten;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2000
Nr.56/ Mai/Juni 2000 Hawaii - Volle Welle ins Paradies;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2000
Nr.57/ Juli/August 2000 Costa Brava - Küste unter dem Licht;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2000
Nr.58/ Sept./Okt. 2000 Elsass - Ein Land voll Wein und Leben;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2000
Nr.59/ Nov./Dez. 2000 Brasilien - Mit Herz und Seele;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2000
Nr.60/ Jan./Feb. 2001 Marokko - Einblicke in eine andere Welt;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;196;2001
Nr.63/ Juli/August 2001 Schweiz - Gipfel-Treffen für Genießer;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;196;2001
Nr.64/ Sept./Okt. 2001 Japan - Land zwischen Hightech und Harmonie;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;196;2001
Nr.65/ Nov./Dez. 2001 Ägypten - Neue und alte Geheimnisse am Nil;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;196;2001
Nr.67/ März/April 2002 Südtirol - Das hohe Lied der Berge;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;214;2002
Nr.69/ Juli/August 2002 Berlin - Willkommen in Deutschlands spannendster Metropole;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;230;2002
Nr.70/ Sept./Okt. 2002 Kuba - Im Rhythmus der Karibik;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2002
Nr.72/ Januar/Februar 2003 Korsika - Die schönsten Seiten der Insel;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2003
Nr.73/ März/April 2003 Deutschland entdecken - Neue Wege durch ein vertrautes Land;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;244;2003
Nr.74/ Mai/Juni 2003 Venetien & Friaul - Zeit zum Träumen;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2003
Nr.75/ Juli/August 2003 Niederlande - Kleines Land mit großer Seele;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2003
Nr.76/ September/Oktober 2003 Südengland & London - Wo England am schönsten ist;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;196;2003
Nr.77/ November/Dezember 2003 Madeira & Azoren - Inseln mit Raum und Zeit;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2003
Nr.78/ Januar/Februar 2004 Südsee - Trauminseln am anderen Ende der Welt;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2004
Nr.80/ Mai/Juni 2004 Spaniens Süden & Madrid - Flamenco und die Seele des Südens;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2004
Nr.82/ September/Oktober 2004 Ungarn - Europas neuer Stern;Regal 3;Ebene 8;Verschiedene;ADAC Reisemagazin;198;2004
Meilensteine des 20. Jahrhunderts;Regal 3;Ebene 8;Verschiedene;Geschichtsbuch zum 20. Jahrhundert;418;1988
Reise zum Dach der Welt;Regal 3;Ebene 8;Peter Somerville-Large;Faszination der Weiten Welt;194;1987/1997
Expedition Amazonas;Regal 3;Ebene 8;Benedict Allen;Faszination der Weiten Welt;194;1987/1997
Traumkontinent Australien;Regal 3;Ebene 8;Australian Broadcasting Commision;Faszination der Weiten Welt;194;1981/1997
Abenteuer Afrika;Regal 3;Ebene 8;Michael Nicholson;Faszination der Weiten Welt;194;1985/1998
Geheimnisvolles China;Regal 3;Ebene 8;Robin Hanbury-Tenison;Faszination der Weiten Welt;194;1987/1998
Magisches Indien;Regal 3;Ebene 8;Mark Shand;Faszination der Weiten Welt;194;1991/1998
Mächtiges Rom;Regal 3;Ebene 8;Emmanuelle Cagnac-Valette & Albert Malain;Grosse Kulturen, Glanzvolle Epochen;194;1978/2001
Rom - Die Ewige Stadt im Bild der Geschichte;Regal 3;Ebene 8;Bernhard Bauer, Jacques Boudet, Claude Manceron, Paul Moschberger & Wolfdietrich Wolff;Geschichtsbuch zur der Römischen Geschichte;288;1962
Die Glanzpunkte von Verona;Regal 3;Ebene 8;Verschiedene;Faszination der Weiten Welt;64;1972
Pompeii - Kultur und Kunst: Oplontis, Herkulaneum & Stabiae;Regal 3;Ebene 8;Prof. Alfonso de Franciscis;Ruinenführer zur Umgebung des Vesuv;128;1985
Ganz Rom - Der Vatikan und die Sixtinische Kapelle;Regal 3;Ebene 8;Eugeno Pucci;Stadtführer von Rom;146;1967/1984
Rom, Florenz, Venedig und Neapel;Regal 3;Ebene 8;Verschiedene;Bücher für das Jahr 2000;194;2000
Venedig - Im Mittelpunkt der Welt;Regal 3;Ebene 8;Vittorio Cuminetti;Stadtführer von Venedig;166;1975
Junior Weltatlas;Regal 3;Ebene 8;Barbara Feulner;Wissensführer zur Weltendeckung;92;1994
Kanadas Osten: Quebec & Ontario;Regal 3;Ebene 8;Siebo Henken;Bildatlas Special;116;1995
Sardinien - Die Insel und ihre Seele;Regal 3;Ebene 8;Verschiedene;Inselführer;98;2007
Kanadas Osten;Regal 3;Ebene 8;Verschiedene;Merian Reiseführer;138;1999
Alle Wunder unserer Welt;Regal 3;Ebene 8;Roland Gööck;Die großen Sehenswürdigkeiten bis zur Gegenwart;256;1968
Das Vorgebirge;Regal 4;Ebene 8;Horst Bursch;Die Reihe Archivbilder;140;2016
Mitten im Herzen von Trier - Augenzeugen erzählen aus den Jahren 1900-1950;Regal 4;Ebene 8;Walter Queck;Unbekannt;202;1984
Wie geschah es Wirklich? - Geheimnisse, Fakten & Enthüllungen;Regal 4;Ebene 8;Ingrid Friedling & Wolfdietrich Müller aus dem Englischen;Unbekannt;352;2000/2002
Bionik: Natur als Vorbild;Regal 4;Ebene 8;Dr. Reinhard Witt & Claus-Peter Lieckfeld;Sachbuch zum Thema Bionik;224;1993
Die Geheime Sprache der Träume;Regal 4;Ebene 8;David Fontana;Sachbuch zum Thema Träume;176;2009
Das Mikroskop - Ein Schlüssel zu den Geheimnissen des Lebens;Regal 4;Ebene 8;M.G. Aliverti, M. Ciccioli & G. Laudi;Sachbuch zum Thema Mikroskop;144;1966/1971
Wie - Was - Warum: Der Mensch;Regal 4;Ebene 8;Susanne Ahrndt;Kaum zu glauben;44;1990/1992
Gehirn und Nerven;Regal 4;Ebene 8;Claudia Franke & Wolfdietrich Müller aus dem Englischen;Unser Körper, Unsere Gesundheit;160;2000/2001
Herz und Kreislauf;Regal 4;Ebene 8;Dr. Claudia Hecker & Ulrike Ziegra;Unser Körper, Unsere Gesundheit;160;2000/2001
Das grosse Buch der Erde;Regal 4;Ebene 8;Edith Bora-Haber aus dem Englischen;Unbekannt;80;1991/1992
Zauber vergangener Reiche;Regal 4;Ebene 8;Deutscher Bücherbund Stuttgart;Sachbuch zum Thema Weltgeschichte;242;1975
Versunkene Städte;Regal 4;Ebene 8;Paul G. Bahn;Sachbuch zum Thema Weltgeschichte;214;2000
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
;;Ebene 8;;;;
Band 13: Wilde Tiere;Regal 4;Ebene 8;Martin L. Keen;Was ist was;48;1983
Die Welt in der wir Leben;Regal 4;Ebene 8;Fritz Bolle;Unbekannt;304;1955
Reader's Digest Weltatlas;Regal 4;Ebene 8;Stefan Kuballa;Weltatlanten;320;2008
Yu-Gi-Oh!: Starterdecks, Evolution Decks, LOB, MRD, MRL/SRL, PSV, LON, LOD, PGD, MFC, DCR, IOC, AST, SOD, RDS, FET, TLM, CRV, EEN & SOI;Regal 5;Ebene 8;Konami: Verleger von Sammelkartenspielen;Ultra Pro Collectors Album - Yugioh;100;2002-2006
Europa: Illustrierte Geschichte unseres Kontinents;Regal 5;Ebene 8;Gerhard Schildt;Geschichte des Kontinents Europa;270;1975
Seit 1852: Hotel Vier Jahreszeiten München;Regal 5;Ebene 8;Kempinski Hotel Vier Jahreszeiten München;Geschichte des Hotels;280;2002
Bezauberndes Südtirol;Regal 5;Ebene 8;Robert Asam;Reiseführer durch Südtirol;224;2003
Brasilien;Regal 5;Ebene 8;Robert Schnieper aus dem Englischen;Terra Magica: Länder der Welt;196;1977/1983
Australien;Regal 5;Ebene 8;Hans Brunner;Terra Magica: Länder der Welt;200;1981
Diercke Weltatlas;Regal 5;Ebene 8;Georg Westermann Verlag;Weltatlanten;56;1957/1972
Universal Weltatlas;Regal 5;Ebene 8;Bertlesmann Verlag;Weltatlanten;480;1998
Europa: Zauber und Schönheit eines alten Kontinents;Regal 5;Ebene 8;Verlag Das Beste Autoren;Natur des Kontinents Europa;312;1975
Amerika;Regal 5;Ebene 8;Hugh Sidey;Terra Magica: Länder der Welt;252;1975
Kanada;Regal 5;Ebene 8;Robert Fulford;Terra Magica: Länder der Welt;240;1983
Südtirol;Regal 5;Ebene 8;Sepp Schnürer;Reiseführer durch Südtirol;240;1995
Wunderwelt der Alpen;Regal 5;Ebene 8;Luis Trenker und andere;Reiseführer durch die Alpen;246;1950
Nordeuropa: Großbritannien, Irland, Norwegen, Schweden, Dänemark, Finnland, Island & Grönland;Regal 5;Ebene 8;Leitung: Ludwig R. Harms;Länder und Völker;170;1987/1991
Südwesteuropa: Frankreich, Portugal & Spanien;Regal 5;Ebene 8;Leitung: Ludwig R. Harms;Länder und Völker;170;1987/1992
Mitteleuropa: Niederlande, Belgien, Luxemburg, Schweiz, Bundesrepublik Deutschland, Österreich & Liechtenstein;Regal 5;Ebene 8;Leitung: Ludwig R. Harms;Länder und Völker;154;1987/1992
UdSSR/Osteuropa: UdSSR, Polen, Tschechoslowakei, Ungarn, Rumänien & Bulgarien;Regal 5;Ebene 8;Leitung: Ludwig R. Harms;Länder und Völker;170;1988/1991
Südasien: Indien, Bangladesch, Nepal, Bhutan, Pakistan, Afghanistan, Birma & Sri Lanka;Regal 5;Ebene 8;Leitung: Ludwig R. Harms;Länder und Völker;154;1989/1992
Ostasien: China, Mongolei, Hongkong, Macau, Taiwan, Korea & Japan;Regal 5;Ebene 8;Leitung: Ludwig R. Harms;Länder und Völker;170;1989/1991
Südostasien: Indonesien, Papua-Neuguinea, Malaysia, Singapur, Thailand, Laos, Kambodscha, Vietnam & Philippinen;Regal 5;Ebene 8;Leitung: Ludwig R. Harms;Länder und Völker;154;1987/1991
Nordafrika: Ägypten, Tunesien, Libyen, Algerien, Marokko, Mauretanien, Mali, Senegal & Gambia;Regal 5;Ebene 8;Leitung: Ludwig R. Harms;Länder und Völker;170;1987/1991
Nordamerika: Vereinigte Staaten von Amerika & Kanada;Regal 5;Ebene 8;Leitung: Ludwig R. Harms;Länder und Völker;154;1978/1990
Südamerika: Brasilien, Kolumbien, Peru, Ecuador, Bolivien, Paraguay, Chile, Argentinien & Uruguay;Regal 5;Ebene 8;Leitung: Ludwig R. Harms;Länder und Völker;154;1978/1990
Australien/Ozeanien: Australien, Neuseeland, Neukaledonien, Vanuatu, Mikronesien, Französisch-Polynesien, Hawaii, Galápagosinseln, Osterinsel & Antarktika;Regal 5;Ebene 8;Leitung: Ludwig R. Harms;Länder und Völker;154;1978/1990
Dinosaurier: Tierwelt der Urzeit;Regal 6;Ebene 8;Traudl Lessing;Wissen entdecken;80;1985/1987
Alles über die Dinosaurier;Regal 6;Ebene 8;David Lambert;Bildatlas zum Thema Dinosaurier;256;1983/1988
Das große Buch der Saurier;Regal 6;Ebene 8;Peter Klepsch & Thomas Thiemeyer;Sachbuch zum Thema Dinosaurier;64;1989
Dinosaurier;Regal 6;Ebene 8;Kathryn Jackson;Bildatlas zum Thema Dinosaurier;30;1990
Dinosaurier von A-Z;Regal 6;Ebene 8;Michael Benton;Bildatlas zum Thema Dinosaurier;176;1988/1990
Bildatlas der Dinosaurier;Regal 6;Ebene 8;William Lindsay;Bildatlas zum Thema Dinosaurier;64;1991/1992
Urzeit;Regal 6;Ebene 8;Dieter Rex;JuniorWissen;128;1991
Band 1: Tiere der Urzeit;Regal 6;Ebene 8;Margot Helmiß;Frag mich was;96;1992
Dinosaurier und ihre Jungen;Regal 6;Ebene 8;Ely Kish & Jennifer A. Kirkpatrick;Kinderbildatlas zum Thema Dinosaurier;14;1992
Dinosaurier regierten die Welt;Regal 6;Ebene 8;David Norman und John Sibbick;Bildatlas zum Thema Dinosaurier;80;1985/1992
Band 6: Dinosaurier;Regal 6;Ebene 8;Margot Helmiß;Frag mich was;96;1993
Band 11: Urmenschen;Regal 6;Ebene 8;Margot Helmiß;Frag mich was;96;1993
Ein Saurier kommt selten allein;Regal 6;Ebene 8;Carola Henke;RTB Lesespaß;128;1993
Saurier gesucht;Regal 6;Ebene 8;David Bischoff;RTB Abenteuer;142;1993
Dinosaurier;Regal 6;Ebene 8;David Lambert;Bildatlas zum Thema Dinosaurier;192;1993
Rätselhafte Dinosaurier;Regal 6;Ebene 8;Roberto Zorzin, Giorgio P. & Guido Ruggeri;Bildatlas zum Thema Dinosaurier;168;1993
Dinosaurier: Auf den Spuren einer geheimnisvollen Welt;Regal 6;Ebene 8;Edito-Service;Sammelordner zum Thema Dinosaurier;650;1993
Band 15: Dinosaurier;Regal 6;Ebene 8;Joachim Oppermann;Was ist was;50;1993
Band 1;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 2;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 4;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 5;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 6;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 7;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 8;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 9;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 10;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 11;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 12;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 13;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 14;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 15;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 16;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 17;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 18;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 24;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 27;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 28;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 29;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 30;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 31;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 32;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 33;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 34;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 35;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 36;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 37;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 38;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 39;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 56;Regal 6;Ebene 8;DE Agostini;Dinosaurier: Entdeckungsreise zu den Giganten der Urzeit;26;1993
Band 3: Dickschädel und Entenschnäbel;Regal 6;Ebene 8;Dinosaurier, die Urzeitgiganten;Bastei Comic-Albume;48;1993
Dinosaurier: Tiere der Urzeit;Regal 6;Ebene 8;Dougal Dixon;Sachbuch zum Thema Urzeit;144;1988/1993
Die Urzeit;Regal 6;Ebene 8;Dieter Rex;JuniorWissen;128;1991/1994
Sammelalbum 3: Herrscher der Urzeit - Dinosaurier und Flugsaurier;Regal 6;Ebene 8;Schloss Verlag im Auftrag Quelle;Quelle Sammelabume;96;1994
Pokies kleiner Abenteuer;Regal 6;Ebene 8;Evelyn B. Hardey;Lesespaß;64;1994
Dinosaurier;Regal 6;Ebene 8;Hans Peter Thiel & Marcus Würmli;Sachbuch zum Thema Dinosaurier;64;1995
Band 19: Flugsaurier;Regal 6;Ebene 8;Norbert Landa;Frag mich was;80;1995
Dinosaurier: Tatsachen, wissenschaftliche Erkenntnisse und Neue ungelöste Rätsel;Regal 6;Ebene 8;Maria Luisa Bozzi, Silvio Bruno & Stefano Maugeri;Sachbuch zum Thema Dinosaurier;234;1992/1997
Dinosaurier und ausgestorbene Tiere;Regal 6;Ebene 8;Laure Cambournac;Magica, unsere wunderbare Welt;128;1997
Fossilien: Handbuch und Führer für den Sammler;Regal 6;Ebene 8;V. Turek, J. Marek & Josef Benes;Handbuch der Paläontologie;496;1998
Dinosaurier: Warum sie sterben mussten;Regal 6;Ebene 8;Shelley Tanaka;Bildatlas zum Thema Dinosaurier;50;1998
Dinosaurier;Regal 6;Ebene 8;David Norman und Angela Milner;Sehen, Staunen, Wissen;64;1990/1998
Dinosaurier und wie sie lebten;Regal 6;Ebene 8;Steve Parker;Kinder entdecken die Welt;64;1988/1998
Die Dinosaurier/Die Welt des Urmenschen;Regal 6;Ebene 8;John Heritage und John Waechter;Bildband zum Thema Tierwelt;200;1998
Dinosaurier: Im Reich der Giganten;Regal 6;Ebene 8;Tim Haines;Bildband zur BBC Serie;290;1999
Deutschland in der Urzeit: Von der Entstehung des Lebens bis zum Ende der Eiszeit;Regal 6;Ebene 8;Ernst Probst;Bildatlas der Paläontologie;480;1986/1999
Dinosaurier;Regal 6;Ebene 8;Michael Benton;Bildatlas zum Thema Dinosaurierpaläontologie;64;1998/2000
Eine illustrierte Enzyklopädie: Dinosaurier & Prähistorische Tiere;Regal 6;Ebene 8;Douglas Palmer;Sachbuch zum Thema Urzeit;312;2000
Dinosaurierjäger: Der Wettlauf um die Erforschung der prähistorischen Welt;Regal 6;Ebene 8;Deborah Cadbury;Roman zum Thema Dinosaurier;448;2001
Dinosaurier;Regal 6;Ebene 8;David Lambert;Bildatlas zum Thema Dinosaurier;192;2002
1000 Dinosaurier;Regal 6;Ebene 8;Helmut Werner;Bildatlas zum Thema Dinosaurier;336;2007/2008
Dinosaurieratlas;Regal 6;Ebene 8;Leitung: Martina Glöde;Bildatlas zum Thema Dinosaurier;162;2019
Dinosaurier;Regal 6;Ebene 8;John Woodward;DK Wissen;208;2014/2020
Dinosaurier;Regal 6;Ebene 8;John Woodward;Kinderbildatlas zum Thema Dinosaurier;29;2020
